n	s	0.126812907664
t	r	0.164620078756
t	s	0.082367278009
s	o	0.153042134436
i	e	0.149141943721
s	r	0.034993314225
r	a	0.209787816676
n	d	0.161135607889
e	t	0.181183030336
o	n	0.204441431104
h	n	0.034993314225
t	n	0.046174273924
o	h	0.063866387524
t	o	0.186415834081
i	a	0.132693361441
e	i	0.115983838096
n	i	0.144249559204
e	s	0.178783517584
a	e	0.099110373124
a	n	0.224715817764
h	a	0.166659081121
n	h	0.054304379089
d	a	0.163239432841
d	s	0.050485146721
e	d	0.190888600464
o	t	0.169320728196
r	d	0.1099519281
d	e	0.225572753025
h	e	0.197317193616
r	i	0.191436876225
i	n	0.225144556036
d	h	0.082367278009
d	d	0.119388216676
a	a	0.060927023556
n	e	0.219907537249
a	h	0.104741555044
e	e	0.165304043776
r	h	0.071655259225
h	t	0.0265201225
a	t	0.213551197456
h	h	0.034993314225
i	i	0.054304379089
n	a	0.179989759504
n	o	0.162542823556
s	d	0.034993314225
h	i	0.153804368041
r	e	0.246726784656
i	o	0.132693361441
d	i	0.156798576484
r	r	0.124758716944
i	d	0.1673300836
t	t	0.132693361441
r	s	0.115983838096
i	t	0.1673300836
t	h	0.194677735729
n	r	0.046174273924
h	r	0.087899797441
i	s	0.179989759504
h	s	0.034993314225
a	r	0.243327131524
e	n	0.223419764929
i	h	0.054304379089
i	r	0.159709731769
t	i	0.186983597056
o	e	0.097625627401
n	n	0.125792227584
n	t	0.180587601936
t	d	0.0265201225
a	s	0.189230220036
d	n	0.046174273924
a	i	0.161135607889
a	d	0.179989759504
o	a	0.126812907664
e	a	0.182952097441
e	h	0.076212436356
o	r	0.202444203844
o	d	0.146725770304
a	o	0.078345129604
d	r	0.099110373124
o	s	0.161841267025
t	a	0.2167647364
s	e	0.225144556036
r	o	0.191436876225
h	o	0.174463265344
s	i	0.176334486084
r	n	0.125792227584
s	h	0.194143340689
h	d	0.034993314225
s	t	0.227695980625
r	t	0.148342833409
o	o	0.150720203529
e	r	0.283914202896
t	e	0.263099236624
e	o	0.076212436356
s	n	0.1099519281
d	o	0.165304043776
s	a	0.168660526489
s	s	0.140844085264
d	t	0.034993314225
o	i	0.118269961216
