n	s	0.712216
t	r	0.811468
t	s	0.573994
s	o	0.782412
i	e	0.772378
s	r	0.37413
r	a	0.916052
n	d	0.802834
e	t	0.851312
o	n	0.904304
h	n	0.37413
t	n	0.429764
o	h	0.505436
t	o	0.863518
i	a	0.728542
e	i	0.681128
n	i	0.759604
e	s	0.845656
a	e	0.629636
a	n	0.948084
h	a	0.816478
n	h	0.466066
d	a	0.808058
d	s	0.449378
e	d	0.873816
o	t	0.822972
r	d	0.66318
d	e	0.94989
h	e	0.888408
r	i	0.87507
i	n	0.948988
d	h	0.573994
d	d	0.691052
a	a	0.493668
n	e	0.937886
a	h	0.647276
e	e	0.813152
r	h	0.53537
h	t	0.3257
a	t	0.924232
h	h	0.37413
i	i	0.466066
n	a	0.848504
n	o	0.806332
s	d	0.37413
h	i	0.784358
r	e	0.993432
i	o	0.728542
d	i	0.791956
r	r	0.706424
i	d	0.81812
t	t	0.728542
r	s	0.681128
i	t	0.81812
t	h	0.882446
n	r	0.429764
h	r	0.592958
i	s	0.848504
h	s	0.37413
a	r	0.986564
e	n	0.945346
i	h	0.466066
i	r	0.799274
t	i	0.864832
o	e	0.624902
n	n	0.709344
n	t	0.849912
t	d	0.3257
a	s	0.870012
d	n	0.429764
a	i	0.802834
a	d	0.848504
o	a	0.712216
e	a	0.855458
e	h	0.552132
o	r	0.899876
o	d	0.766096
a	o	0.559804
d	r	0.629636
o	s	0.80459
t	a	0.93116
s	e	0.948988
r	o	0.87507
h	o	0.835376
s	i	0.839844
r	n	0.709344
s	h	0.881234
h	d	0.37413
s	t	0.95435
r	t	0.770306
o	o	0.776454
e	r	1.065672
t	e	1.025864
e	o	0.552132
s	n	0.66318
d	o	0.813152
s	a	0.821366
s	s	0.750584
d	t	0.37413
o	i	0.687808
