0	d	0.460233
0	o	0.264444
0	i	0.033975
0	r	0.223779
0	a	0.289704
0	h	0.390477
0	t	0.394146
0	n	0.036498
0	s	0.219135
0	e	0.687612
1	d	0.289455
1	o	0.020169
1	i	0.691572
1	r	0.248484
1	a	0.167958
1	h	0.01128
1	t	0.796899
1	n	0.212313
1	s	0.093384
1	e	0.468486
2	d	0.599484
2	o	0.116169
2	i	0.04644
2	r	0.044112
2	a	0.607338
2	h	0.253974
2	t	0.070704
2	n	0.421632
2	s	0.561354
2	e	0.278796
3	d	0.099045
3	o	0.900549
3	i	0.145077
3	r	0.280449
3	a	0.019152
3	h	0.7416
3	t	0.076119
3	n	0.182703
3	s	0.527346
3	e	0.02796
4	d	0.449631
4	o	0.250551
4	i	0.726834
4	r	0.152262
4	a	0.284223
4	h	0.082197
4	t	0.695085
4	n	0.243657
4	s	0.112803
4	e	0.002763
5	d	0.35196
5	o	0.024513
5	i	0.074175
5	r	0.336342
5	a	0.713955
5	h	0.134721
5	t	0.194496
5	n	0.835548
5	s	0.117801
5	e	0.216486
6	d	0.582336
6	o	0.510246
6	i	0.255117
6	r	0.179967
6	a	0.443901
6	h	0.340353
6	t	0.001878
6	n	0.258189
6	s	0.412074
6	e	0.015939
7	d	0.002889
7	o	0.375558
7	i	0.144843
7	r	0.470241
7	a	0.209223
7	h	0.640002
7	t	0.106248
7	n	0.067026
7	s	0.479733
7	e	0.504237
8	d	0.053391
8	o	0.369621
8	i	0.090024
8	r	0.759735
8	a	0.133659
8	h	0.740469
8	t	0.361149
8	n	0.052221
8	s	0.08616
8	e	0.353571
9	d	0.509166
9	o	0.056124
9	i	0.350514
9	r	0.073917
9	a	0.431973
9	h	0.281577
9	t	0.151143
9	n	0.12552
9	s	0.531183
9	e	0.488883
10	d	0.43176
10	o	0.080634
10	i	0.041073
10	r	0.051111
10	a	0.203517
10	h	0.398781
10	t	0.507927
10	n	0.358797
10	s	0.346695
10	e	0.579708
11	d	0.263022
11	o	0.294636
11	i	0.55029
11	r	0.094923
11	a	0.16377
11	h	0.159048
11	t	0.484986
11	n	0.07455
11	s	0.281649
11	e	0.633126
12	d	0.402885
12	o	0.297318
12	i	0.210057
12	r	0.108777
12	a	0.593217
12	h	0.304899
12	t	0.095976
12	n	0.502359
12	s	0.465432
12	e	0.019083
13	d	0.1773
13	o	0.478311
13	i	0.102417
13	r	0.280845
13	a	0.112278
13	h	0.531567
13	t	0.201996
13	n	0.171357
13	s	0.61137
13	e	0.332562
14	d	0.661773
14	o	0.047559
14	i	0.822258
14	r	0.087936
14	a	0.133074
14	h	0.332319
14	t	0.745584
14	n	0.147318
14	s	0.005811
14	e	0.016365
15	d	0.04875
15	o	0.242181
15	i	0.020643
15	r	0.220224
15	a	0.623232
15	h	0.266106
15	t	0.251118
15	n	0.663537
15	s	0.320235
15	e	0.34398
16	d	0.477882
16	o	0.392061
16	i	0.178212
16	r	0.235353
16	a	0.46161
16	h	0.34542
16	t	0.152187
16	n	0.207069
16	s	0.441666
16	e	0.10854
17	d	0.232209
17	o	0.510099
17	i	0.123702
17	r	0.335895
17	a	0.182208
17	h	0.385569
17	t	0.049986
17	n	0.205083
17	s	0.498666
17	e	0.476586
18	d	0.10293
18	o	0.189492
18	i	0.273639
18	r	0.699582
18	a	0.220965
18	h	0.576309
18	t	0.21369
18	n	0.370887
18	s	0.306594
18	e	0.045915
19	d	0.411936
19	o	0.10221
19	i	0.391311
19	r	0.159117
19	a	0.619938
19	h	0.065091
19	t	0.169797
19	n	0.229086
19	s	0.364239
19	e	0.487278
20	d	0.477651
20	o	0.175602
20	i	0.066072
20	r	0.040464
20	a	0.231357
20	h	0.510651
20	t	0.518331
20	n	0.300936
20	s	0.178122
20	e	0.500811
21	d	0.232107
21	o	0.257886
21	i	0.551385
21	r	0.054009
21	a	0.034362
21	h	0.050061
21	t	0.755682
21	n	0.237264
21	s	0.132387
21	e	0.694857
22	d	0.480648
22	o	0.242583
22	i	0.143967
22	r	0.213288
22	a	0.709548
22	h	0.196029
22	t	0.178806
22	n	0.373365
22	s	0.443067
22	e	0.018702
23	d	0.04308
23	o	0.556272
23	i	0.343851
23	r	0.034365
23	a	0.071988
23	h	0.606201
23	t	0.176826
23	n	0.338388
23	s	0.724185
23	e	0.104844
24	d	0.409878
24	o	0.325899
24	i	0.55122
24	r	0.28977
24	a	0.267192
24	h	0.023742
24	t	0.405267
24	n	0.330336
24	s	0.336849
24	e	0.059844
25	d	0.010851
25	o	0.032286
25	i	0.31821
25	r	0.181431
25	a	0.625899
25	h	0.291753
25	t	0.370968
25	n	0.680694
25	s	0.243186
25	e	0.244722
26	d	0.471957
26	o	0.401475
26	i	0.20232
26	r	0.051822
26	a	0.377307
26	h	0.457995
26	t	0.155127
26	n	0.147438
26	s	0.523515
26	e	0.211041
27	d	0.098046
27	o	0.442638
27	i	0.170292
27	r	0.428838
27	a	0.21768
27	h	0.506154
27	t	0.204738
27	n	0.106458
27	s	0.513165
27	e	0.311991
28	d	0.287148
28	o	0.00261
28	i	0.285261
28	r	0.773682
28	a	0.218187
28	h	0.623376
28	t	0.324393
28	n	0.222828
28	s	0.204573
28	e	0.057942
29	d	0.551145
29	o	0.249006
29	i	0.445047
29	r	0.029019
29	a	0.36798
29	h	0.20442
29	t	0.006615
29	n	0.265308
29	s	0.376857
29	e	0.504603
30	d	0.487104
30	o	0.314124
30	i	0.190626
30	r	0.152583
30	a	0.007509
30	h	0.462291
30	t	0.578472
30	n	0.034734
30	s	0.010728
30	e	0.761829
31	d	0.11844
31	o	0.094725
31	i	0.519747
